2025-06-19 16:41:46,042 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:41:46,042 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045f9d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:46,042 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (27): us.i.posthog.com:443
2025-06-19 16:41:46,043 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 0.8s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045e850>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:41:46,856 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (28): us.i.posthog.com:443
2025-06-19 16:41:46,858 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:41:46,858 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aeac10>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:46,858 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (29): us.i.posthog.com:443
2025-06-19 16:41:46,858 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:41:46,859 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aea710>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:46,859 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (30): us.i.posthog.com:443
2025-06-19 16:41:46,859 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 0.8s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aeaad0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:41:47,665 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (31): us.i.posthog.com:443
2025-06-19 16:41:47,666 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:41:47,666 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aeafd0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:47,666 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (32): us.i.posthog.com:443
2025-06-19 16:41:47,667 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:41:47,667 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9810>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:47,667 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (33): us.i.posthog.com:443
2025-06-19 16:41:47,668 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 3.3s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9450>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:41:50,991 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (34): us.i.posthog.com:443
2025-06-19 16:41:50,992 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:41:50,992 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae96d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:50,992 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (35): us.i.posthog.com:443
2025-06-19 16:41:50,993 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:41:50,993 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8550>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:50,993 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (36): us.i.posthog.com:443
2025-06-19 16:41:50,994 | backoff | ERROR | _common.py:120 | Giving up send_request(...) after 4 tries (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae8690>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:41:59,276 | pynucleus | INFO | collector.py:61 | Ingested 3602 chunks from 16 files.
2025-06-19 16:41:59,276 | __main__ | INFO | run_pipeline.py:354 | ✅ Successfully ingested documents into ChromaDB
